WKT,LINK_ID,ST_NAME
"MULTILINESTRING ((34.82221 32.05604,34.82225 32.05608,34.82231 32.05611))",834523988,כיכר עוזי חיטמן
"MULTILINESTRING ((34.84208 32.06952,34.84208 32.06959,34.84202 32.06964))",834524023,
"MULTILINESTRING ((34.84191 32.06947,34.842 32.06945,34.84205 32.06947,34.84208 32.06952))",834524024,
"MULTILINESTRING ((34.82867 32.07309,34.82869 32.07314,34.82867 32.07321))",834524043,כיכר אליעזר שוסטק
"MULTILINESTRING ((34.84191 32.06947,34.84186 32.06953,34.84187 32.06959,34.84193 32.06964,34.84202 32.06964))",834524076,
"MULTILINESTRING ((34.82867 32.07321,34.82862 32.07326,34.82856 32.07327,34.8285 32.07325))",834524120,כיכר אליעזר שוסטק
"MULTILINESTRING ((34.84702 32.07325,34.84693 32.07321,34.84682 32.07322,34.84676 32.07329,34.84675 32.07334,34.84676 32.07339))",834524121,
"MULTILINESTRING ((34.84705 32.07338,34.84699 32.07344,34.8469 32.07346,34.84682 32.07344,34.84676 32.07339))",834524123,
"MULTILINESTRING ((34.84702 32.07325,34.84705 32.07331,34.84705 32.07338))",834524124,
"MULTILINESTRING ((34.84366 32.07203,34.84361 32.07208,34.84353 32.07209))",834524125,
"MULTILINESTRING ((34.84346 32.07191,34.84354 32.07188,34.84363 32.0719,34.84367 32.07196,34.84366 32.07203))",834524126,
"MULTILINESTRING ((34.84413 32.07243,34.84412 32.07246,34.84412 32.0725,34.84415 32.07253,34.84419 32.07255))",834524128,
"MULTILINESTRING ((34.84346 32.07191,34.84343 32.07196,34.84343 32.07201,34.84346 32.07206,34.84353 32.07209))",834524129,
"MULTILINESTRING ((34.83114 32.0734,34.83119 32.07345,34.83118 32.07352))",834524136,כיכר נורי מורד
"MULTILINESTRING ((34.83114 32.0734,34.83109 32.07339,34.83103 32.0734,34.83099 32.07344,34.83098 32.07348))",834524137,כיכר נורי מורד
"MULTILINESTRING ((34.83098 32.07348,34.83101 32.07354,34.83105 32.07356,34.83113 32.07356,34.83118 32.07352))",834524146,כיכר נורי מורד
"MULTILINESTRING ((34.8474 32.0505,34.84736 32.05057,34.84731 32.05059,34.84725 32.05058))",834524215,
"MULTILINESTRING ((34.84976 32.05042,34.84972 32.05047,34.84967 32.05048,34.84958 32.05046))",834524225,
"MULTILINESTRING ((34.84083 32.04809,34.84079 32.04811))",834524240,
"MULTILINESTRING ((34.84717 32.05048,34.8472 32.05055,34.84725 32.05058))",834524261,
"MULTILINESTRING ((34.84729 32.05039,34.84738 32.05043,34.8474 32.0505))",834524263,
"MULTILINESTRING ((34.84729 32.05039,34.84722 32.05041,34.84717 32.05048))",834524266,
"MULTILINESTRING ((34.82058 32.05119,34.82062 32.05122,34.82063 32.05126,34.82059 32.0513))",834524276,
"MULTILINESTRING ((34.80397 32.08905,34.80405 32.08909,34.80409 32.08908,34.80413 32.08905))",834524287,
"MULTILINESTRING ((34.80415 32.08901,34.80413 32.08905))",834524288,
"MULTILINESTRING ((34.80408 32.08893,34.80403 32.08893,34.80398 32.08896,34.80396 32.08901,34.80397 32.08905))",834524297,
"MULTILINESTRING ((34.80408 32.08893,34.80413 32.08896,34.80415 32.08901))",834524298,
"MULTILINESTRING ((34.81713 32.08667,34.81713 32.08671,34.81717 32.08675,34.81722 32.08677,34.81729 32.08676))",834524330,
"MULTILINESTRING ((34.81726 32.08659,34.81732 32.08662,34.81734 32.08666,34.81734 32.08671,34.81729 32.08676))",834524331,
"MULTILINESTRING ((34.81726 32.08659,34.81718 32.08661,34.81713 32.08667))",834524332,
"MULTILINESTRING ((34.80219 32.08748,34.80218 32.08752,34.80216 32.08754,34.80208 32.08755))",834524333,
"MULTILINESTRING ((34.80209 32.08737,34.80214 32.08739,34.80217 32.08743,34.80219 32.08748))",834524337,
"MULTILINESTRING ((34.80202 32.08737,34.80209 32.08737))",834524338,
"MULTILINESTRING ((34.80202 32.08737,34.80196 32.08741,34.80195 32.08749))",834524339,
"MULTILINESTRING ((34.80195 32.08749,34.80199 32.08753,34.80208 32.08755))",834524340,
"MULTILINESTRING ((34.82127 32.10199,34.82131 32.10196,34.82141 32.10195,34.82145 32.10197,34.82147 32.10201))",834524409,
"MULTILINESTRING ((34.84608 32.06209,34.84609 32.06214,34.84611 32.06218,34.84614 32.06222))",834524498,
"MULTILINESTRING ((34.80231 32.08514,34.80226 32.08518,34.80226 32.08526,34.80229 32.08531,34.80238 32.08535))",834524761,
"MULTILINESTRING ((34.80231 32.08514,34.80239 32.08511,34.80247 32.08512,34.80252 32.08517))",834524762,
"MULTILINESTRING ((34.80252 32.08517,34.80253 32.08526,34.80248 32.08533))",834524763,
"MULTILINESTRING ((34.80248 32.08533,34.80238 32.08535))",834524764,
"MULTILINESTRING ((34.80778 32.08485,34.80784 32.08485,34.8079 32.08487,34.80793 32.08492,34.80793 32.08498))",834524768,
"MULTILINESTRING ((34.80793 32.08498,34.80789 32.08503,34.80781 32.08505,34.80774 32.08503))",834524769,
"MULTILINESTRING ((34.80778 32.08485,34.80773 32.0849,34.80771 32.08496,34.80774 32.08503))",834524770,
"MULTILINESTRING ((34.80076 32.08381,34.80077 32.08383,34.80078 32.08387,34.80077 32.0839,34.80075 32.08392))",834524781,
"MULTILINESTRING ((34.80075 32.08392,34.80072 32.08394,34.80068 32.08395,34.80064 32.08394,34.80061 32.08393))",834524782,
"MULTILINESTRING ((34.81152 32.05736,34.81164 32.05785))",834529296,עודד
"MULTILINESTRING ((34.81242 32.05774,34.81164 32.05785))",834530932,אלוף דוד
"MULTILINESTRING ((34.84366 32.07203,34.84388 32.07213,34.84423 32.07221))",834531418,
"MULTILINESTRING ((34.8474 32.04631,34.84728 32.04635,34.84663 32.04662))",834531441,
"MULTILINESTRING ((34.83499 32.04483,34.83524 32.04582))",834531501,שדרות הברושים
"MULTILINESTRING ((34.80397 32.08905,34.80363 32.08939))",834535514,אנה פרנק
"MULTILINESTRING ((34.82147 32.10201,34.82171 32.10205))",834535764,
"MULTILINESTRING ((34.84341 32.0479,34.84354 32.04799))",834535835,
"MULTILINESTRING ((34.80061 32.08393,34.80047 32.08401,34.80038 32.08405,34.80032 32.08407,34.80024 32.08409,34.80012 32.08411,34.80002 32.08412))",834536106,זיסמן שלום
